Svenska;Spanska;Kategori
1§ Mord;Asesinato;Juridik
2§ Dråp;Homicidio;Juridik
3§ Barnadråp;Infanticidio;Juridik
5§ Misshandel;Maltrato, delito de lesiones;Juridik
6§ Grov misshandel;Maltrato grave (con agravante), delito agravado de lesiones;Juridik
7§ Vållande till annans död;Homicidio culposo/ por negligencia/ imprudente/ involuntario;Juridik
8§ Vållande till kroppsskada eller sjukdom;Delito de lesiones por imprudencia;Juridik
9§ Framkallande av fara för annan;Delito de peligro, provocar peligro para terceros;Juridik
10§ Arbetsmiljöbrott;Delito contra la seguridad laboral;Juridik
1§ Människorov;Secuestro;Juridik
1a§ Människohandel;Trata de personas (seres humanos);Juridik
1b§ Människoexploatering;Explotación de personas;Juridik
2§ Olaga frihetsberövande;Privación ilicita de la libertad;Juridik
4§ Olaga tvång;Delito de coacciones;Juridik
4a§ Grov fridskränkning/grov kvinnofridskränkning;Delito de atentado contra la integridad moral de la persona/ mujer, violación grave de la integridad de la persona/mujer;Juridik
4b§ Olaga förföljelse;Persecución ilicita;Juridik
4c§ Äktenskapstvång;Delito de matrimonio forzado, delito de coaccción para contraer matrimonio;Juridik
4d§ Vilseledande till äktenskapsresa;Viaje ilícito engañoso con promesa de matrimonio;Juridik
4e§ Hedersförtryck;Opresión de honor;Juridik
5§ Olaga hot;Amenaza ilicita, delito de amenaza;Juridik
6§ Hemfridsbrott och olaga intrång;Allanamiento de morada y usurpación;Juridik
6a§ Kränkande fotografering;Captación ultrajante/ vejatoria de imagen;Juridik
7§ Ofredande;Acoso;Juridik
8§ Brytande av post- eller telehemlighet;Violación de secreto postal y de telecomunicaciones;Juridik
9§ Intrång i förvar;Intrusión en lugar cerrado;Juridik
9a§ Olovlig avlyssning;Escucha ilícita;Juridik
9c§ Dataintrång & grovt dataintrång;Intrusión en sistemas informáticos;Juridik
1§ Förtal;Difamación, calumnia;Juridik
2§ Grovt förtal;Difamación grave;Juridik
3§ Förolämpning;Insulto, ofensa;Juridik
4§ Förtal av avliden;Difamación, calumnia de difunto;Juridik
1§ Våldtäkt & grov våldtäkt;Violación y violación grave;Juridik
1a§ Oaktsam våldtäkt;Violación negligente;Juridik
