SVENSKA;SPANSKA
1§ Mord;Asesinato
2§ Dråp;Homicidio
3§ Barnadråp;Infanticidio
5§ Misshandel;Maltrato, delito de lesiones
6§ Grov misshandel;Maltrato grave (con agravante), delito agravado de lesiones
7§ Vållande till annans död;Homicidio culposo/ por negligencia/ imprudente/ involuntario
8§ Vållande till kroppsskada eller sjukdom;Delito de lesiones por imprudencia
9§ Framkallande av fara för annan;Delito de peligro, provocar peligro para terceros
10§ Arbetsmiljöbrott;Delito contra la seguridad laboral
1§ Människorov;Secuestro
1a§ Människohandel;Trata de personas (seres humanos)
1b§ Människoexploatering;Explotación de personas
2§ Olaga frihetsberövande;Privación ilicita de la libertad
4§ Olaga tvång;Delito de coacciones
4a§ Grov fridskränkning/grov kvinnofridskränkning;Delito de atentado contra la integridad moral de la persona/ mujer, violación grave de la integridad de la persona/mujer
4b§ Olaga förföljelse;Persecución ilicita
4c§ Äktenskapstvång;Delito de matrimonio forzado, delito de coaccción para contraer matrimonio
4d§ Vilseledande till äktenskapsresa;Viaje ilícito engañoso con promesa de matrimonio
4e§ Hedersförtryck;Opresión de honor
5§ Olaga hot;Amenaza ilicita, delito de amenaza
6§ Hemfridsbrott och olaga intrång;Allanamiento de morada y usurpación
6a§ Kränkande fotografering;Captación ultrajante/ vejatoria de imagen
7§ Ofredande;Acoso
8§ Brytande av post- eller telehemlighet;Violación de secreto postal y de telecomunicaciones
9§ Intrång i förvar;Intrusión en lugar cerrado
9a§ Olovlig avlyssning;Escucha ilícita
9c§ Dataintrång & grovt dataintrång;Intrusión en sistemas informáticos
1§ Förtal;Difamación, calumnia
2§ Grovt förtal;Difamación grave
3§ Förolämpning;Insulto, ofensa
4§ Förtal av avliden;Difamación, calumnia de difunto
1§ Våldtäkt & grov våldtäkt;Violación y violación grave
1a§ Oaktsam våldtäkt;Violación negligente
2§ Sexuellt tvång och grovt sexuellt tvång;Coerción sexual
3§ Sexuellt utnyttjande av person i beroende ställning och grov sexuellt utnyttjande av person i beroende ställning;Abuso sexual de persona en situación (posicion) de dependencia
4§ Våldtäkt mot barn och grov våldtäkt mot barn;Violación de menor
5§ Sexuellt utnyttjande av barn;Abuso sexual de menor
6§ Sexuellt övergrepp mot barn och grov sexuellt övergrepp mot barn;Agresión sexual a menor
7§ Samlag med avkomling och samlag med syskon;Coito con descendente y coito con hermanos
8§ Utnyttjande/ grovt utnyttjande av barn för sexuell posering;Explotación de menores para poses sexuales
9§ Köp av sexuell handling av barn;Compra de acto sexual de menores
10§ Sexuellt ofredande;Acoso sexual
10a§ Kontakt med barn i sexuellt syfte;Contacto con menor para fines sexuales
11§ Köp av sexuell tjänst;Compra de servicio sexual
12§ Koppleri och grovt koppleri;Proxenetismo, proxenetismo con agravante
1§ Tvegifte och olovlig ingående av äktenskap;Bigamia y contracción ilícita de matrimonio
2§ Otillbörlig utverkande av samtycke eller tillstånd till adoption av barn;Obtención indebida de consentimiento o autorización para la adopción de un niño
3§ Förvanskande av familjeställning;Distorsión del estado familiar
4§ Egenmäktighet med barn/ grov egenmäktighet med barn;Sustracción de menores
1§ Stöld;Hurto/robo
2§ Snatteri;Hurto leve
4§ Grov stöld;Hurto grave/robo grave
5§ Rån;Robo / atraco
6§ Grovt rån;Robo grave/ atraco grave
7§ Tillgrepp av fortskaffningsmedel;Robo/ hurto de uso de vehículos
8§ Egenmäktig förfarande;Procedimiento arbitrario
